timestamp_ms,rss_bytes,heap_used_bytes,external_bytes
1786056316812,19701760,1080046,358766
1786056316862,19701760,1080204,358780
1786056316914,19701760,1080362,358794
1786056316965,19705856,1080520,358808
1786056317017,19705856,1080698,358826
1786056317069,19705856,1080856,358840
1786056317119,19705856,1081014,358854
1786056317171,19705856,1081172,358868
1786056317222,19709952,1081330,358882
1786056317273,19709952,1081488,358896
1786056317324,19709952,1081646,358910
1786056317375,19709952,1081804,358924
1786056317426,19709952,1081962,358938
1786056317478,19709952,1082120,358952
1786056317529,19714048,1082278,358966
1786056317580,19714048,1082436,358980
1786056317631,19714048,1082594,358994
1786056317683,19714048,1082752,359008
1786056317734,19718144,1082910,359022
1786056317786,19718144,1083068,359036
1786056317838,19718144,1083226,359050
1786056317889,19718144,1083384,359064
1786056317941,19718144,1083542,359078
1786056317992,19718144,1083700,359092
1786056318042,19718144,1083858,359106
1786056318094,19718144,1084016,359120
1786056318144,19718144,1084174,359134
1786056318195,19718144,1084332,359148
1786056318248,19718144,1084490,359162
1786056318301,19718144,1084648,359176
1786056318352,19718144,1084806,359190
1786056318404,19718144,1084964,359204
1786056318455,19718144,1085122,359218
1786056318507,19718144,1085280,359232
1786056318557,19718144,1085438,359246
1786056318608,19718144,1085596,359260
1786056318659,19718144,1085754,359274
1786056318711,19718144,1085912,359288
1786056318763,19718144,1086070,359302
1786056318815,19718144,1086228,359316
1786056318866,19718144,1086386,359330
1786056318917,19718144,1086544,359344
1786056318968,19718144,1086702,359358
1786056319019,19718144,1086860,359372
1786056319071,19718144,1087018,359386
1786056319123,19718144,1087176,359400
1786056319174,19718144,1087334,359414
1786056319225,19718144,1087492,359428
1786056319275,19718144,1087650,359442
1786056319327,19718144,1087808,359456
1786056319378,19734528,1087966,359470
1786056319429,19734528,1087966,359470
1786056319479,19734528,1087966,359470
1786056319530,19734528,1088394,359514
1786056319582,19734528,1088552,359528
1786056319633,19734528,1088710,359542
1786056319684,19734528,1088868,359556
1786056319734,19734528,1089026,359570
1786056319786,19734528,1089184,359584
1786056319837,19734528,1089342,359598
1786056319888,19738624,1089500,359612
1786056319939,19738624,1089678,359630
1786056319991,19738624,1089836,359644
1786056320042,19738624,1089994,359658
1786056320093,19738624,1090152,359672
1786056320144,19738624,1090310,359686
1786056320195,19738624,1090468,359700
1786056320246,19738624,1090626,359714
1786056320298,19738624,1090784,359728
1786056320352,19738624,1090942,359742
1786056320403,19738624,1091100,359756
1786056320454,19738624,1091258,359770
1786056320505,19738624,1091416,359784
1786056320556,19738624,1091574,359798
1786056320607,19742720,1091574,359798
1786056320657,19742720,1091574,359798
1786056320707,19742720,1091574,359798
1786056320757,19742720,1091574,359798
1786056320807,19742720,1091574,359798
1786056320858,19742720,1091574,359798
1786056320908,19742720,1091574,359798
1786056320959,19742720,1091574,359798
1786056321010,19742720,1091574,359798
1786056321060,19742720,1091574,359798
1786056321111,19742720,1091574,359798
1786056321161,19742720,1091574,359798
1786056321211,19742720,1091574,359798
1786056321267,19755008,1101409,359985
1786056321318,19755008,1101587,360003
1786056321370,19755008,1101745,360017
1786056321422,19755008,1101903,360031
1786056321472,19755008,1102061,360045
1786056321522,19755008,1102061,360045
1786056321574,19755008,1102344,360072
1786056321625,19755008,1102502,360086
1786056321676,19755008,1102660,360100
1786056321727,19755008,1102818,360114
1786056321777,19755008,1102976,360128
1786056321829,19759104,1103134,360142
1786056321880,19759104,1103312,360160
1786056321931,19759104,1103470,360174
1786056321982,19759104,1103628,360188
1786056322034,19759104,1103786,360202
1786056322085,19759104,1103944,360216
1786056322136,19759104,1104102,360230
1786056322188,19759104,1104260,360244
1786056322238,19759104,1104418,360258
1786056322289,19759104,1104576,360272
1786056322340,19759104,1104734,360286
1786056322391,19759104,1104892,360300
1786056322442,19759104,1105050,360314
1786056322494,19759104,1105208,360328
1786056322544,19759104,1105366,360342
1786056322595,19759104,1105366,360342
1786056322645,19759104,1105366,360342
1786056322695,19759104,1105366,360342
1786056322746,19759104,1105366,360342
1786056322797,19759104,1105366,360342
1786056322848,19759104,1105366,360342
1786056322898,19759104,1105366,360342
1786056322949,19759104,1105366,360342
1786056322999,19759104,1105366,360342
1786056323050,19759104,1105366,360342
1786056323100,19759104,1105366,360342
1786056323151,19759104,1105366,360342
1786056323202,19759104,1105366,360342
1786056323252,19759104,1105366,360342
1786056323302,19759104,1105366,360342
1786056323353,19759104,1105366,360342
1786056323404,19759104,1105366,360342
1786056323454,19759104,1105366,360342
1786056323505,19759104,1105366,360342
1786056323556,19759104,1107899,360603
1786056323607,19759104,1108057,360617
1786056323658,19759104,1108215,360631
